sensor_id,project_id,infrastructure_id,volt,air_height,temperature,tilt_angle,level,rsrp,work_mode,alarm_fall,alarm_fire,alarm_full,alarm_battery,fall_enabled,frame_counter,threshold_fall,threshold_full,threshold_battery,interval_detection_minutes,interval_detection_hour,time,is_anomaly,latitude,longitude,message_type
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.65,645.5,24,0,99.45,-812,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,119,0,0,0,0,0,45754.19097,NULL,12.5432,48.7654,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.65,640.5,25,0,99.95,-778,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,118,0,0,0,0,0,45753.94028,NULL,28.9101,35.2345,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,643.5,29,0,99.65,-747,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,117,0,0,0,0,0,45753.68889,NULL,5.6789,55.8765,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,642,37,0,99.8,-815,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,116,0,0,0,0,0,45753.43819,NULL,31.4567,22.1234,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.65,636.5,25,0,100.35,-778,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,115,0,0,0,0,0,45753.1875,NULL,18.789,40.5678,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,636.5,27,0,100.35,-777,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,114,0,0,0,0,0,45752.93681,NULL,25.3456,58.9012,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,635.5,32,0,100.45,-831,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,113,0,0,0,0,0,45752.68542,NULL,3.4567,17.6543,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.67,642.5,39,0,99.75,-793,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,112,0,0,0,0,0,45752.43472,NULL,33.0123,45.9876,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,632,24,0,100.8,-795,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,111,0,0,0,0,0,45752.18403,NULL,21.6789,30.3456,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,631.5,26,0,100.85,-820,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,110,0,0,0,0,0,45751.93333,NULL,9.0123,52.6789,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,632.5,32,0,100.75,-782,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,109,0,0,0,0,0,45751.68194,NULL,30.789,20.0123,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.67,651,39,0,98.9,-775,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,108,0,0,0,0,0,45751.43125,NULL,15.3456,43.4567,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.67,626.5,24,0,101.35,-792,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,107,0,0,0,0,0,45751.18056,NULL,7.4567,57.789,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,626,25,0,101.4,-781,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,106,0,0,0,0,0,45750.93056,NULL,34.1234,27.8901,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.67,627.5,32,0,101.25,-770,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,105,0,0,0,0,0,45750.67917,NULL,23.8901,38.2345,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.67,631,40,0,100.9,-785,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,104,0,0,0,0,0,45750.42847,NULL,11.2345,50.5678,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,622.5,23,0,101.75,-830,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,103,0,0,0,0,0,45750.17847,NULL,2.5678,19.9012,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,620.5,24,0,101.95,-814,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,102,0,0,0,0,0,45749.92778,NULL,32.0123,47.3456,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,623.5,32,0,101.65,-755,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,101,0,0,0,0,0,45749.67639,NULL,19.5678,32.6789,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.67,630.5,38,0,100.95,-804,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,100,0,0,0,0,0,45749.42569,NULL,8.789,54.0123,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,618.5,23,0,102.15,-807,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,99,0,0,0,0,0,45749.17569,NULL,30.3456,25.4567,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.65,620,24,1,102,-756,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,98,0,0,0,0,0,45748.925,NULL,16.4567,41.789,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.65,620.5,31,0,101.95,-785,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,97,0,0,0,0,0,45748.67361,NULL,6.3456,59.3456,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,641.5,37,0,99.85,-790,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,96,0,0,0,0,0,45748.42292,NULL,33.789,29.1234,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,615.5,21,0,102.45,-827,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,95,0,0,0,0,0,45748.17222,NULL,22.0123,36.9012,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.65,615.5,23,0,102.45,-808,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,94,0,0,0,0,0,45747.92153,NULL,10.5678,51.3456,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,616.5,29,0,102.35,-747,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,93,0,0,0,0,0,45747.67014,NULL,4.6789,16.6789,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.66,635,35,0,100.5,-759,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,92,0,0,0,0,0,45747.41944,NULL,31.0123,44.0123,DATA_MESSAGE
8.65E+14,YJF3B2Tl6OogoW,bL9lTJszIhoKvN,3.65,611.5,21,0,102.85,-779,NORMAL,FALSE,FALSE,TRUE,FALSE,FALSE,91,0,0,0,0,0,45747.16875,NULL,17.789,33.8901,DATA_MESSAGE
